epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1936,1.41899,3.59688,1.2943,0.00159,0.43478,0.06937,0.04913,1.16075,4.37366,1.41292,2e-05,2e-05,2e-05
2,25.2117,1.31033,3.51477,1.24652,0.00222,0.6087,0.10534,0.07698,1.09637,4.12938,1.24149,5.8812e-05,5.8812e-05,5.8812e-05
3,41.2076,1.11797,3.47721,1.03274,0.00254,0.69565,0.22359,0.16234,1.0037,3.96803,1.11993,9.604e-05,9.604e-05,9.604e-05
4,51.9333,1.08745,3.39108,1.03723,0.00286,0.78261,0.29097,0.23382,0.96789,3.89304,1.02388,0.000131684,0.000131684,0.000131684
5,62.904,1.16035,2.96806,1.22149,0.00333,0.91304,0.36554,0.26755,0.93073,3.72807,0.94824,0.000165744,0.000165744,0.000165744
6,73.6124,1.07562,2.43173,1.11126,0.00349,0.95652,0.50145,0.3819,0.91165,3.59366,0.94984,0.00019822,0.00019822,0.00019822
7,84.35,1.10887,1.99683,1.00863,0.00435,1,0.62035,0.47393,0.87567,3.4712,0.95241,0.000229112,0.000229112,0.000229112
8,94.8956,0.92268,1.83698,0.89458,0.00365,1,0.65511,0.48284,0.87942,3.44918,0.9506,0.00025842,0.00025842,0.00025842
9,105.347,0.91354,1.69401,0.9576,0.00349,0.95652,0.64715,0.45455,0.89529,3.48811,0.96038,0.000286144,0.000286144,0.000286144
10,117.334,1.05836,1.86375,1.1492,0.00349,0.95652,0.62035,0.42431,0.88736,3.57511,0.9719,0.000312284,0.000312284,0.000312284
11,129.24,0.74039,1.75193,0.95217,0.00349,0.95652,0.53232,0.36544,0.92272,3.62267,0.96869,0.00033684,0.00033684,0.00033684
12,139.981,0.89464,1.53496,1.05327,0.00349,0.95652,0.40721,0.28703,0.89453,3.64173,0.97561,0.000359812,0.000359812,0.000359812
13,150.696,0.8148,1.65029,0.95344,0.00349,0.95652,0.31923,0.23841,0.84893,3.65094,0.97704,0.0003812,0.0003812,0.0003812
14,161.293,0.86267,1.39581,0.95113,0.00349,0.95652,0.23683,0.17221,0.8507,3.61775,0.96497,0.000401004,0.000401004,0.000401004
15,171.955,0.79837,1.60927,0.93021,0.00349,0.95652,0.30351,0.21337,0.84225,3.56513,0.95445,0.000419224,0.000419224,0.000419224
