epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0755,1.36953,3.70803,1.39315,0.00208,0.625,0.16489,0.11512,1.32838,4.24143,1.4258,4e-05,4e-05,4e-05
2,34.0763,1.33463,3.57163,1.30153,0.0025,0.75,0.24801,0.17332,0.98287,4.05717,1.13902,9.802e-05,9.802e-05,9.802e-05
3,51.1827,1.1767,2.89952,1.16806,0.00333,1,0.49859,0.31765,1.0839,3.82904,1.04385,0.000153664,0.000153664,0.000153664
4,67.1922,1.12822,2.55174,1.15078,0.00375,1,0.52253,0.35256,1.05393,3.71639,0.99132,0.000206932,0.000206932,0.000206932
5,83.3644,0.98358,1.73181,1.04521,0.00333,1,0.54095,0.31005,1.0846,3.79037,1.02338,0.000257824,0.000257824,0.000257824
6,99.4163,1.01726,1.73481,1.04413,0.00333,1,0.57074,0.33034,1.06291,3.73382,1.05545,0.00030634,0.00030634,0.00030634
7,115.249,1.05632,1.59856,1.04675,0.00333,1,0.49035,0.34058,1.05522,3.63483,0.98574,0.00035248,0.00035248,0.00035248
8,131.19,1.0628,1.63595,1.01873,0.00333,1,0.48071,0.33302,1.00881,3.7051,0.96749,0.000396244,0.000396244,0.000396244
9,147.137,1.0461,1.5086,1.07144,0.00333,1,0.52898,0.40696,1.08807,3.63167,0.96635,0.000437632,0.000437632,0.000437632
10,163.018,1.08913,1.51713,1.13768,0.00333,1,0.56761,0.47001,1.07165,3.55619,0.97773,0.000476644,0.000476644,0.000476644
11,179.067,1.02945,1.42113,1.02047,0.00333,1,0.54222,0.43579,1.04045,3.58973,0.94303,0.00051328,0.00051328,0.00051328
12,197.048,1.06585,1.53428,1.05126,0.00333,1,0.47595,0.41503,1.01065,3.58253,0.94487,0.00054754,0.00054754,0.00054754
13,214.92,1.04094,1.54463,1.06254,0.00333,1,0.48291,0.38071,1.14921,3.67829,1.03947,0.000579424,0.000579424,0.000579424
14,230.873,0.98449,1.40796,1.08568,0.0059,0.86178,0.52367,0.41609,1.09118,3.57929,1.04142,0.000608932,0.000608932,0.000608932
15,248.47,1.00801,1.46116,1.09617,0.12417,0.625,0.49239,0.35239,1.26976,3.59497,1.10006,0.000636064,0.000636064,0.000636064
16,268.876,0.97588,1.32133,1.06535,0.01251,0.75,0.33103,0.228,1.30314,3.6651,1.14483,0.00066082,0.00066082,0.00066082
17,288.616,1.10523,1.3978,1.09048,0.65249,0.25,0.3127,0.19774,1.33447,3.56049,1.13698,0.0006832,0.0006832,0.0006832
18,303.555,0.94067,1.36815,1.06339,0.94858,0.25,0.46626,0.26286,1.35164,3.42733,1.13616,0.000703204,0.000703204,0.000703204
19,318.814,0.96497,1.42498,1.06736,1,0.23736,0.57005,0.37385,1.32067,3.5344,1.15693,0.000720832,0.000720832,0.000720832
20,333.506,0.9358,1.28532,1.01365,0.69123,0.28685,0.61274,0.34436,1.30527,3.34969,1.12397,0.000736084,0.000736084,0.000736084
21,348.192,0.9301,1.25308,0.99113,1,0.35959,0.73974,0.38208,1.28758,3.32576,1.11958,0.00074896,0.00074896,0.00074896
22,362.836,0.90908,1.28586,1.06309,0.58712,0.25,0.5798,0.35382,1.23516,3.45488,1.07758,0.00075946,0.00075946,0.00075946
23,377.374,0.85693,1.176,0.97579,0.74988,0.37481,0.7425,0.51434,1.1715,3.28663,1.03841,0.000767584,0.000767584,0.000767584
24,392.118,0.88912,1.24381,1.02023,0.70037,0.5,0.73786,0.53883,1.20032,3.10416,1.07352,0.000773332,0.000773332,0.000773332
25,406.86,0.79721,1.22595,1.00552,0.94172,0.5,0.8217,0.52857,1.26399,3.03115,1.16622,0.000776704,0.000776704,0.000776704
26,421.45,0.915,1.12841,1.00327,0.79128,0.4782,0.871,0.4437,1.45649,2.94337,1.3325,0.0007777,0.0007777,0.0007777
27,435.841,0.86009,1.11603,1.0282,0.62007,0.375,0.69768,0.39586,1.44633,2.89303,1.36678,0.00077632,0.00077632,0.00077632
28,450.576,0.92991,1.2164,1.03391,0.73022,0.68077,0.79147,0.42778,1.43956,2.84574,1.37002,0.000772564,0.000772564,0.000772564
29,465.46,0.87847,1.07233,0.98053,0.73022,0.68077,0.79147,0.42778,1.43956,2.84574,1.37002,0.000766432,0.000766432,0.000766432
30,480.219,0.84447,1.06918,1.01186,0.77641,0.86883,0.845,0.48568,1.3643,2.65748,1.26227,0.000757924,0.000757924,0.000757924
31,495.124,0.82471,1.17177,0.977,0.79171,0.95334,0.93975,0.59389,1.28651,2.5666,1.14096,0.00074704,0.00074704,0.00074704
